Company,Year,Revenue (B USD),Change (%)
Applied Materials,2005,7.06,-14.19
Applied Materials,2004,8.23,65.47
Applied Materials,2003,4.97,-2.69
Applied Materials,2002,5.11,-15.92
Applied Materials,2001,6.08,-40.38
Applied Materials,2000,10.20,73.21
Applied Materials,1999,5.89,69.48
Applied Materials,1998,3.47,-23.53
Applied Materials,1997,4.54,15.39
Applied Materials,1996,3.94,
